file,label
174.wav,fake
175.wav,fake
176.wav,real
177.wav,real
178.wav,real
179.wav,fake
180.wav,real
181.wav,real
182.wav,fake
183.wav,real
184.wav,fake
185.wav,real
186.wav,fake
187.wav,real
188.wav,fake
189.wav,real
190.wav,fake
191.wav,fake
192.wav,real
193.wav,fake
194.wav,real
195.wav,real
196.wav,real
197.wav,real
198.wav,real
199.wav,real
200.wav,real
201.wav,real
202.wav,real
203.wav,real
204.wav,real
205.wav,real
206.wav,real
207.wav,fake
208.wav,real
209.wav,fake
210.wav,real
211.wav,fake
212.wav,real
213.wav,real
214.wav,fake
215.wav,fake
216.wav,real
217.wav,real
218.wav,real
219.wav,real
220.wav,real
221.wav,real
222.wav,real
223.wav,real
224.wav,fake
225.wav,fake
226.wav,fake
227.wav,real
228.wav,real
229.wav,fake
230.wav,real
231.wav,fake
232.wav,real
233.wav,real
234.wav,real
235.wav,real
236.wav,fake
237.wav,real
238.wav,real
239.wav,real
240.wav,real
241.wav,real
242.wav,real
243.wav,real
244.wav,real
245.wav,real
246.wav,fake
247.wav,real
248.wav,real
249.wav,real
250.wav,real
251.wav,fake
252.wav,real
253.wav,fake
254.wav,real
255.wav,real
256.wav,real
257.wav,fake
258.wav,real
259.wav,real
260.wav,real
261.wav,fake
262.wav,real
263.wav,real
264.wav,real
265.wav,fake
266.wav,real
267.wav,fake
268.wav,real
269.wav,fake
270.wav,fake
271.wav,fake
272.wav,real
273.wav,fake
274.wav,real
275.wav,fake
276.wav,real
277.wav,fake
278.wav,fake
279.wav,real
280.wav,real
281.wav,real
282.wav,fake
283.wav,fake
284.wav,real
285.wav,fake
286.wav,real
287.wav,fake
288.wav,real
289.wav,real
290.wav,real
291.wav,real
292.wav,fake
293.wav,fake
294.wav,fake
295.wav,fake
296.wav,fake
297.wav,fake
298.wav,real
299.wav,real
300.wav,real
301.wav,real
302.wav,fake
303.wav,fake
304.wav,real
305.wav,real
306.wav,real
307.wav,fake
308.wav,real
309.wav,real
310.wav,fake
311.wav,real
312.wav,fake
313.wav,real
314.wav,real
315.wav,real
316.wav,real
317.wav,fake
318.wav,fake
319.wav,fake
320.wav,real
321.wav,real
322.wav,real
323.wav,real
324.wav,fake
325.wav,real
326.wav,real
327.wav,real
328.wav,real
329.wav,real
330.wav,real
331.wav,real
332.wav,real
333.wav,real
334.wav,real
335.wav,real
336.wav,real
337.wav,real
338.wav,fake
339.wav,fake
340.wav,real
341.wav,fake
342.wav,fake
343.wav,real
344.wav,fake
345.wav,real
346.wav,fake
347.wav,fake
348.wav,real
349.wav,fake
350.wav,real
351.wav,fake
352.wav,real
353.wav,fake
354.wav,fake
355.wav,real
356.wav,real
357.wav,fake
358.wav,real
359.wav,real
360.wav,real
361.wav,fake
362.wav,real
363.wav,real
364.wav,real
365.wav,real
366.wav,real
367.wav,real
368.wav,fake
369.wav,real
370.wav,real
371.wav,real
372.wav,fake
373.wav,real
374.wav,fake
375.wav,fake
376.wav,real
377.wav,real
378.wav,real
379.wav,real
380.wav,fake
381.wav,real
382.wav,real
383.wav,real
384.wav,real
385.wav,real
386.wav,real
387.wav,real
388.wav,real
389.wav,real
390.wav,fake
391.wav,fake
392.wav,fake
393.wav,fake
394.wav,real
395.wav,fake
396.wav,real
397.wav,fake
398.wav,fake
399.wav,fake
400.wav,real
401.wav,real
402.wav,fake
403.wav,fake
404.wav,real
405.wav,real
406.wav,real
407.wav,real
408.wav,fake
409.wav,real
410.wav,real
411.wav,real
412.wav,real
413.wav,real
414.wav,real
415.wav,real
416.wav,fake
417.wav,real
418.wav,real
419.wav,real
420.wav,real
421.wav,fake
422.wav,fake
423.wav,real
424.wav,real
425.wav,real
426.wav,real
427.wav,fake
428.wav,real
429.wav,real
430.wav,real
431.wav,real
432.wav,fake
433.wav,fake
434.wav,real
435.wav,real
436.wav,real
437.wav,fake
438.wav,real
439.wav,real
440.wav,fake
441.wav,fake
442.wav,real
443.wav,fake
444.wav,fake
445.wav,fake
446.wav,real
447.wav,real
448.wav,real
449.wav,real
450.wav,real
451.wav,fake
452.wav,real
453.wav,real
454.wav,fake
455.wav,real
456.wav,real
457.wav,fake
458.wav,real
459.wav,real
460.wav,fake
461.wav,real
462.wav,real
463.wav,fake
464.wav,fake
465.wav,real
466.wav,fake
467.wav,real
468.wav,real
469.wav,real
470.wav,real
471.wav,real
472.wav,real
473.wav,real
474.wav,fake
475.wav,real
476.wav,real
477.wav,real
478.wav,real
479.wav,real
480.wav,real
481.wav,fake
482.wav,real
483.wav,real
484.wav,fake
485.wav,real
486.wav,real
487.wav,real
488.wav,fake
489.wav,fake
490.wav,fake
491.wav,fake
492.wav,fake
493.wav,fake
494.wav,fake
495.wav,fake
496.wav,real
497.wav,real
498.wav,real
499.wav,real
500.wav,real
501.wav,real
502.wav,fake
503.wav,real
504.wav,real
505.wav,fake
506.wav,real
507.wav,real
508.wav,real
509.wav,fake
510.wav,real
511.wav,real
512.wav,fake
513.wav,real
514.wav,fake
515.wav,fake
516.wav,real
517.wav,real
518.wav,real
519.wav,fake
520.wav,real
521.wav,real
522.wav,real
523.wav,real
524.wav,real
525.wav,fake
526.wav,fake
527.wav,fake
528.wav,fake
529.wav,real
530.wav,real
531.wav,fake
532.wav,real
533.wav,real
534.wav,real
535.wav,fake
536.wav,fake
537.wav,fake
538.wav,fake
539.wav,real
540.wav,fake
541.wav,fake
542.wav,fake
543.wav,real
544.wav,fake
545.wav,fake
546.wav,fake
547.wav,fake
548.wav,real
549.wav,fake
550.wav,fake
551.wav,real
552.wav,real
553.wav,real
554.wav,real
555.wav,real
556.wav,real
557.wav,fake
558.wav,real
559.wav,real
560.wav,fake
561.wav,fake
562.wav,fake
563.wav,real
564.wav,real
565.wav,fake
566.wav,fake
567.wav,fake
568.wav,real
569.wav,fake
570.wav,fake
571.wav,fake
572.wav,fake
573.wav,fake
574.wav,fake
575.wav,real
576.wav,real
577.wav,fake
578.wav,fake
579.wav,fake
580.wav,real
581.wav,real
582.wav,real
583.wav,real
584.wav,real
585.wav,real
586.wav,fake
587.wav,real
588.wav,real
589.wav,real
590.wav,real
591.wav,real
592.wav,fake
593.wav,fake
594.wav,fake
595.wav,real
596.wav,real
597.wav,fake
598.wav,real
599.wav,real
600.wav,real
601.wav,real
602.wav,real
603.wav,real
604.wav,real
605.wav,fake
606.wav,real
607.wav,real
608.wav,real
609.wav,fake
610.wav,real
611.wav,real
612.wav,real
613.wav,real
614.wav,fake
615.wav,real
616.wav,fake
617.wav,real
618.wav,real
619.wav,real
620.wav,real
621.wav,fake
622.wav,real
623.wav,real
624.wav,real
625.wav,fake
626.wav,real
627.wav,fake
628.wav,real
629.wav,real
630.wav,real
631.wav,fake
632.wav,real
633.wav,fake
634.wav,fake
635.wav,fake
636.wav,fake
637.wav,fake
638.wav,real
639.wav,fake
640.wav,real
641.wav,fake
642.wav,real
643.wav,real
644.wav,real
645.wav,real
646.wav,real
647.wav,fake
648.wav,real
649.wav,real
650.wav,real
651.wav,fake
652.wav,real
653.wav,real
654.wav,real
655.wav,fake
656.wav,real
657.wav,fake
658.wav,real
659.wav,fake
660.wav,fake
661.wav,fake
662.wav,real
663.wav,fake
664.wav,fake
665.wav,real
666.wav,real
667.wav,real
668.wav,real
669.wav,real
670.wav,real
671.wav,real
672.wav,real
673.wav,real
674.wav,real
675.wav,real
676.wav,real
677.wav,fake
678.wav,real
679.wav,real
680.wav,fake
681.wav,fake
682.wav,fake
683.wav,real
684.wav,real
685.wav,fake
686.wav,real
687.wav,fake
688.wav,fake
689.wav,real
690.wav,fake
691.wav,real
692.wav,fake
693.wav,real
694.wav,real
695.wav,fake
696.wav,fake
697.wav,real
698.wav,real
699.wav,real
700.wav,real
701.wav,real
702.wav,real
703.wav,fake
704.wav,fake
705.wav,real
706.wav,real
707.wav,real
708.wav,fake
709.wav,fake
710.wav,real
711.wav,real
712.wav,fake
713.wav,real
714.wav,real
715.wav,fake
716.wav,real
717.wav,fake
718.wav,fake
719.wav,real
720.wav,fake
721.wav,real
722.wav,fake
723.wav,real
724.wav,real
725.wav,real
726.wav,real
727.wav,real
728.wav,fake
729.wav,real
730.wav,real
731.wav,real
732.wav,fake
733.wav,real
734.wav,real
735.wav,real
736.wav,real
737.wav,fake
738.wav,real
739.wav,real
740.wav,real
741.wav,real
742.wav,real
743.wav,fake
744.wav,real
745.wav,real
746.wav,real
747.wav,real
748.wav,real
749.wav,fake
750.wav,real
751.wav,real
752.wav,real
753.wav,fake
754.wav,real
755.wav,real
756.wav,fake
757.wav,real
758.wav,fake
759.wav,real
760.wav,real
761.wav,real
762.wav,real
763.wav,fake
764.wav,fake
765.wav,real
766.wav,real
767.wav,real
768.wav,fake
769.wav,fake
770.wav,fake
771.wav,real
772.wav,real
773.wav,fake
774.wav,real
775.wav,real
776.wav,real
777.wav,real
778.wav,real
779.wav,real
780.wav,real
781.wav,fake
782.wav,fake
783.wav,fake
784.wav,fake
785.wav,real
786.wav,real
787.wav,fake
788.wav,real
789.wav,real
790.wav,real
791.wav,fake
792.wav,real
793.wav,real
794.wav,real
795.wav,fake
796.wav,real
797.wav,fake
798.wav,fake
799.wav,real
800.wav,fake
801.wav,real
802.wav,fake
803.wav,fake
804.wav,real
805.wav,real
806.wav,real
807.wav,fake
808.wav,real
809.wav,fake
810.wav,real
811.wav,fake
812.wav,real
813.wav,real
814.wav,real
815.wav,real
816.wav,fake
817.wav,real
818.wav,real
819.wav,real
820.wav,fake
821.wav,real
822.wav,fake
823.wav,real
824.wav,real
825.wav,real
826.wav,real
827.wav,fake
828.wav,real
829.wav,real
830.wav,real
831.wav,real
832.wav,real
833.wav,real
834.wav,fake
835.wav,fake
836.wav,fake
837.wav,real
838.wav,fake
839.wav,fake
840.wav,fake
841.wav,fake
842.wav,fake
843.wav,fake
844.wav,real
845.wav,real
846.wav,real
847.wav,real
848.wav,fake
849.wav,real
850.wav,real
851.wav,real
852.wav,fake
853.wav,fake
854.wav,real
855.wav,real
856.wav,fake
857.wav,fake
858.wav,real
859.wav,real
860.wav,real
861.wav,real
862.wav,real
863.wav,real
864.wav,fake
865.wav,fake
866.wav,real
867.wav,real
868.wav,fake
869.wav,real
870.wav,fake
871.wav,real
872.wav,real
873.wav,fake
874.wav,fake
875.wav,real
876.wav,real
877.wav,fake
878.wav,real
879.wav,fake
880.wav,real
881.wav,fake
882.wav,fake
883.wav,fake
884.wav,fake
885.wav,real
886.wav,real
887.wav,real
888.wav,fake
889.wav,fake
890.wav,real
891.wav,fake
892.wav,real
893.wav,fake
894.wav,real
895.wav,real
896.wav,real
897.wav,real
898.wav,fake
899.wav,real
900.wav,real
901.wav,fake
902.wav,real
903.wav,real
904.wav,fake
905.wav,fake
906.wav,real
907.wav,real
908.wav,fake
909.wav,fake
910.wav,real
911.wav,real
912.wav,real
913.wav,real
914.wav,real
915.wav,real
916.wav,fake
917.wav,real
918.wav,real
919.wav,real
920.wav,real
921.wav,real
922.wav,real
923.wav,real
924.wav,fake
925.wav,real
926.wav,real
927.wav,real
928.wav,real
929.wav,real
930.wav,real
931.wav,real
932.wav,real
933.wav,fake
934.wav,real
935.wav,real
936.wav,real
937.wav,real
938.wav,fake
939.wav,real
940.wav,fake
941.wav,real
942.wav,fake
943.wav,fake
944.wav,fake
945.wav,real
946.wav,real
947.wav,real
948.wav,real
949.wav,real
950.wav,fake
951.wav,real
952.wav,real
953.wav,fake
954.wav,real
955.wav,fake
956.wav,real
957.wav,fake
958.wav,real
959.wav,real
960.wav,real
961.wav,real
962.wav,real
963.wav,fake
964.wav,real
965.wav,real
966.wav,real
967.wav,fake
968.wav,fake
969.wav,real
970.wav,fake
971.wav,real
972.wav,fake
973.wav,real
974.wav,real
975.wav,real
976.wav,real
977.wav,fake
978.wav,fake
979.wav,fake
980.wav,fake
981.wav,real
982.wav,fake
983.wav,fake
984.wav,real
985.wav,real
986.wav,real
987.wav,real
988.wav,real
989.wav,fake
990.wav,fake
991.wav,fake
992.wav,real
993.wav,real
994.wav,real
995.wav,real
996.wav,fake
997.wav,real
998.wav,real
999.wav,fake
1000.wav,real
1001.wav,real
1002.wav,real
1003.wav,fake
1004.wav,real
1005.wav,real
1006.wav,fake
1007.wav,real
1008.wav,fake
1009.wav,real
1010.wav,real
1011.wav,real
1012.wav,fake
1013.wav,fake
1014.wav,fake
1015.wav,fake
1016.wav,real
1017.wav,fake
1018.wav,real
1019.wav,real
1020.wav,fake
1021.wav,fake
1022.wav,real
1023.wav,real
1024.wav,real
1025.wav,real
1026.wav,real
1027.wav,real
1028.wav,fake
1029.wav,real
1030.wav,fake
1031.wav,real
1032.wav,real
1033.wav,fake
1034.wav,fake
1035.wav,real
1036.wav,real
1037.wav,real
1038.wav,real
1039.wav,real
1040.wav,real
1041.wav,real
1042.wav,real
1043.wav,real
1044.wav,real
1045.wav,real
1046.wav,real
1047.wav,real
1048.wav,fake
1049.wav,real
1050.wav,real
1051.wav,fake
1052.wav,real
1053.wav,real
1054.wav,real
1055.wav,real
1056.wav,real
1057.wav,real
1058.wav,real
1059.wav,fake
1060.wav,real
1061.wav,fake
1062.wav,real
1063.wav,real
1064.wav,fake
1065.wav,real
1066.wav,real
1067.wav,real
1068.wav,fake
1069.wav,fake
1070.wav,real
1071.wav,fake
1072.wav,real
1073.wav,fake
1074.wav,real
1075.wav,real
1076.wav,real
1077.wav,real
1078.wav,fake
1079.wav,real
1080.wav,real
1081.wav,real
1082.wav,fake
1083.wav,real
1084.wav,real
1085.wav,real
1086.wav,real
1087.wav,fake
1088.wav,real
1089.wav,real
1090.wav,fake
1091.wav,real
1092.wav,fake
1093.wav,real
1094.wav,real
1095.wav,fake
1096.wav,real
1097.wav,fake
1098.wav,real
1099.wav,real
1100.wav,fake
1101.wav,real
1102.wav,real
1103.wav,real
1104.wav,real
1105.wav,fake
1106.wav,fake
1107.wav,real
1108.wav,real
1109.wav,real
1110.wav,fake
1111.wav,real
1112.wav,real
1113.wav,real
1114.wav,fake
1115.wav,fake
1116.wav,fake
1117.wav,fake
1118.wav,real
1119.wav,real
1120.wav,real
1121.wav,fake
1122.wav,fake
1123.wav,fake
1124.wav,real
1125.wav,real
1126.wav,fake
1127.wav,fake
1128.wav,fake
1129.wav,real
1130.wav,real
1131.wav,real
1132.wav,fake
1133.wav,real
1134.wav,real
1135.wav,real
1136.wav,fake
1137.wav,real
1138.wav,real
1139.wav,fake
1140.wav,real
1141.wav,real
1142.wav,real
1143.wav,real
1144.wav,fake
1145.wav,fake
1146.wav,real
1147.wav,real
1148.wav,fake
1149.wav,real
1150.wav,fake
1151.wav,real
1152.wav,real
1153.wav,real
1154.wav,real
1155.wav,real
1156.wav,real
1157.wav,real
1158.wav,real
1159.wav,real
1160.wav,fake
1161.wav,fake
1162.wav,real
1163.wav,real
1164.wav,real
1165.wav,fake
1166.wav,real
1167.wav,real
1168.wav,real
1169.wav,fake
1170.wav,fake
1171.wav,fake
1172.wav,real
1173.wav,real
1174.wav,real
1175.wav,real
1176.wav,real
1177.wav,fake
1178.wav,real
1179.wav,real
1180.wav,real
1181.wav,fake
1182.wav,fake
1183.wav,fake
1184.wav,fake
1185.wav,real
1186.wav,fake
1187.wav,real
1188.wav,real
1189.wav,real
1190.wav,real
1191.wav,fake
1192.wav,real
1193.wav,real
1194.wav,real
1195.wav,fake
1196.wav,real
1197.wav,fake
1198.wav,fake
1199.wav,real
1200.wav,real
1201.wav,fake
1202.wav,fake
1203.wav,fake
1204.wav,real
1205.wav,fake
1206.wav,real
1207.wav,fake
1208.wav,fake
1209.wav,real
1210.wav,real
1211.wav,real
1212.wav,fake
1213.wav,real
1214.wav,fake
1215.wav,real
1216.wav,real
1217.wav,fake
1218.wav,real
1219.wav,real
1220.wav,real
1221.wav,real
1222.wav,fake
1223.wav,fake
1224.wav,fake
1225.wav,fake
1226.wav,fake
1227.wav,fake
1228.wav,fake
1229.wav,fake
1230.wav,real
1231.wav,fake
1232.wav,real
1233.wav,real
1234.wav,fake
1235.wav,real
1236.wav,real
1237.wav,fake
1238.wav,real
1239.wav,fake
1240.wav,fake
1241.wav,real
1242.wav,fake
1243.wav,real
1244.wav,fake
1245.wav,real
1246.wav,fake
1247.wav,real
1248.wav,real
1249.wav,fake
1250.wav,real
1251.wav,fake
1252.wav,fake
1253.wav,fake
1254.wav,fake
1255.wav,real
1256.wav,real
1257.wav,real
1258.wav,fake
1259.wav,real
1260.wav,real
1261.wav,real
1262.wav,real
1263.wav,fake
1264.wav,fake
1265.wav,real
1266.wav,fake
1267.wav,real
1268.wav,real
1269.wav,real
1270.wav,fake
1271.wav,real
1272.wav,real
1273.wav,fake
1274.wav,fake
1275.wav,real
1276.wav,real
1277.wav,real
1278.wav,real
1279.wav,fake
1280.wav,real
1281.wav,fake
1282.wav,fake
1283.wav,fake
1284.wav,real
1285.wav,real
1286.wav,fake
1287.wav,real
1288.wav,real
1289.wav,real
1290.wav,fake
1291.wav,real
1292.wav,real
1293.wav,fake
1294.wav,real
1295.wav,real
1296.wav,real
1297.wav,fake
1298.wav,real
1299.wav,real
1300.wav,fake
1301.wav,real
1302.wav,fake
1303.wav,real
1304.wav,real
1305.wav,real
1306.wav,real
1307.wav,fake
1308.wav,fake
1309.wav,fake
1310.wav,real
1311.wav,real
1312.wav,real
1313.wav,real
1314.wav,real
1315.wav,fake
1316.wav,fake
1317.wav,real
1318.wav,real
1319.wav,real
1320.wav,real
1321.wav,fake
1322.wav,real
1323.wav,real
1324.wav,real
1325.wav,real
1326.wav,real
1327.wav,real
1328.wav,real
1329.wav,real
1330.wav,real
1331.wav,real
1332.wav,fake
1333.wav,real
1334.wav,real
1335.wav,fake
1336.wav,fake
1337.wav,real
1338.wav,fake
1339.wav,fake
1340.wav,real
1341.wav,real
1342.wav,real
1343.wav,fake
1344.wav,fake
1345.wav,real
1346.wav,real
1347.wav,real
1348.wav,fake
1349.wav,real
1350.wav,fake
1351.wav,fake
1352.wav,real
1353.wav,fake
1354.wav,real
1355.wav,fake
1356.wav,real
1357.wav,real
1358.wav,real
1359.wav,fake
1360.wav,real
1361.wav,fake
1362.wav,real
1363.wav,real
1364.wav,real
1365.wav,real
1366.wav,real
1367.wav,fake
1368.wav,real
1369.wav,real
1370.wav,real
1371.wav,fake
1372.wav,real
1373.wav,fake
1374.wav,real
1375.wav,fake
1376.wav,fake
1377.wav,real
1378.wav,real
1379.wav,real
1380.wav,real
1381.wav,fake
1382.wav,real
1383.wav,real
1384.wav,real
1385.wav,real
1386.wav,real
1387.wav,real
1388.wav,real
1389.wav,fake
1390.wav,real
1391.wav,fake
1392.wav,fake
1393.wav,fake
1394.wav,real
1395.wav,real
1396.wav,real
1397.wav,fake
1398.wav,real
1399.wav,fake
1400.wav,real
1401.wav,fake
1402.wav,real
1403.wav,real
1404.wav,real
1405.wav,fake
1406.wav,real
1407.wav,fake
1408.wav,real
1409.wav,real
1410.wav,fake
1411.wav,real
1412.wav,real
1413.wav,fake
1414.wav,real
1415.wav,real
1416.wav,fake
1417.wav,fake
1418.wav,fake
1419.wav,real
1420.wav,real
1421.wav,real
1422.wav,real
1423.wav,fake
1424.wav,real
1425.wav,real
1426.wav,real
1427.wav,real
1428.wav,fake
1429.wav,real
1430.wav,real
1431.wav,real
1432.wav,fake
1433.wav,real
1434.wav,fake
1435.wav,real
1436.wav,fake
1437.wav,fake
1438.wav,real
1439.wav,fake
1440.wav,real
1441.wav,real
1442.wav,real
1443.wav,real
1444.wav,fake
1445.wav,fake
1446.wav,fake
1447.wav,fake
1448.wav,real
1449.wav,real
1450.wav,real
1451.wav,real
1452.wav,fake
1453.wav,fake
1454.wav,real
1455.wav,real
1456.wav,real
1457.wav,real
1458.wav,real
1459.wav,fake
1460.wav,real
1461.wav,real
1462.wav,real
1463.wav,real
1464.wav,real
1465.wav,fake
1466.wav,real
1467.wav,real
1468.wav,real
1469.wav,real
1470.wav,fake
1471.wav,real
1472.wav,real
1473.wav,fake
1474.wav,real
1475.wav,fake
1476.wav,fake
1477.wav,real
1478.wav,real
1479.wav,real
1480.wav,fake
1481.wav,fake
1482.wav,real
1483.wav,fake
1484.wav,fake
1485.wav,fake
1486.wav,fake
1487.wav,real
1488.wav,real
1489.wav,fake
1490.wav,fake
1491.wav,fake
1492.wav,real
1493.wav,fake
1494.wav,real
1495.wav,real
1496.wav,fake
1497.wav,real
1498.wav,real
1499.wav,fake
1500.wav,real
1501.wav,real
1502.wav,real
1503.wav,fake
1504.wav,real
1505.wav,real
1506.wav,real
1507.wav,real
1508.wav,fake
1509.wav,real
1510.wav,fake
1511.wav,real
1512.wav,fake
1513.wav,real
1514.wav,real
1515.wav,fake
1516.wav,fake
1517.wav,fake
1518.wav,real
1519.wav,real
1520.wav,fake
1521.wav,fake
1522.wav,fake
1523.wav,real
1524.wav,fake
1525.wav,real
1526.wav,real
1527.wav,fake
1528.wav,fake
1529.wav,real
1530.wav,fake
1531.wav,real
1532.wav,fake
1533.wav,fake
1534.wav,fake
1535.wav,fake
1536.wav,fake
1537.wav,fake
1538.wav,fake
1539.wav,fake
1540.wav,real
1541.wav,real
1542.wav,real
1543.wav,fake
1544.wav,real
1545.wav,real
1546.wav,fake
1547.wav,real
1548.wav,fake
1549.wav,real
1550.wav,fake
1551.wav,real
1552.wav,real
1553.wav,fake
1554.wav,fake
1555.wav,fake
1556.wav,fake
1557.wav,real
1558.wav,real
1559.wav,fake
1560.wav,fake
1561.wav,fake
1562.wav,real
1563.wav,real
1564.wav,real
1565.wav,real
1566.wav,real
1567.wav,fake
1568.wav,real
1569.wav,fake
1570.wav,real
1571.wav,real
1572.wav,real
1573.wav,real
1574.wav,fake
1575.wav,fake
1576.wav,fake
1577.wav,real
1578.wav,real
1579.wav,real
1580.wav,real
1581.wav,real
1582.wav,real
1583.wav,fake
1584.wav,real
1585.wav,real
1586.wav,fake
1587.wav,real
1588.wav,real
1589.wav,real
1590.wav,real
1591.wav,real
1592.wav,fake
1593.wav,real
1594.wav,real
1595.wav,real
1596.wav,real
1597.wav,real
1598.wav,fake
1599.wav,real
1600.wav,real
1601.wav,real
1602.wav,fake
1603.wav,fake
1604.wav,fake
1605.wav,real
1606.wav,real
1607.wav,real
1608.wav,real
1609.wav,fake
1610.wav,fake
1611.wav,real
1612.wav,real
1613.wav,fake
1614.wav,fake
1615.wav,real
1616.wav,real
1617.wav,real
1618.wav,real
1619.wav,real
1620.wav,real
1621.wav,real
1622.wav,real
1623.wav,real
1624.wav,real
1625.wav,real
1626.wav,real
1627.wav,fake
1628.wav,real
1629.wav,real
1630.wav,fake
1631.wav,real
1632.wav,fake
1633.wav,fake
1634.wav,fake
1635.wav,fake
1636.wav,real
1637.wav,fake
1638.wav,fake
1639.wav,fake
1640.wav,real
1641.wav,real
1642.wav,fake
1643.wav,fake
1644.wav,fake
1645.wav,real
1646.wav,real
1647.wav,fake
1648.wav,fake
1649.wav,real
1650.wav,fake
1651.wav,real
1652.wav,real
1653.wav,real
1654.wav,real
1655.wav,fake
1656.wav,fake
1657.wav,real
1658.wav,real
1659.wav,real
1660.wav,real
1661.wav,real
1662.wav,real
1663.wav,real
1664.wav,fake
1665.wav,real
1666.wav,real
1667.wav,real
1668.wav,real
1669.wav,real
1670.wav,fake
1671.wav,real
1672.wav,real
1673.wav,real
1674.wav,fake
1675.wav,real
1676.wav,real
1677.wav,real
1678.wav,real
1679.wav,fake
1680.wav,real
1681.wav,real
1682.wav,real
1683.wav,real
1684.wav,real
1685.wav,real
1686.wav,real
1687.wav,fake
1688.wav,fake
1689.wav,real
1690.wav,real
1691.wav,real
1692.wav,real
1693.wav,real
1694.wav,fake
1695.wav,fake
1696.wav,real
1697.wav,fake
1698.wav,fake
1699.wav,fake
1700.wav,fake
1701.wav,real
1702.wav,fake
1703.wav,real
1704.wav,fake
1705.wav,fake
1706.wav,real
1707.wav,real
1708.wav,fake
1709.wav,real
1710.wav,real
1711.wav,fake
1712.wav,real
1713.wav,real
1714.wav,fake
1715.wav,fake
1716.wav,fake
1717.wav,fake
1718.wav,real
1719.wav,fake
1720.wav,real
1721.wav,real
1722.wav,fake
1723.wav,real
1724.wav,real
1725.wav,fake
1726.wav,real
1727.wav,real
1728.wav,real
1729.wav,real
1730.wav,real
1731.wav,real
1732.wav,real
1733.wav,real
1734.wav,real
1735.wav,fake
1736.wav,real
1737.wav,fake
1738.wav,real
1739.wav,real
1740.wav,real
1741.wav,fake
1742.wav,fake
1743.wav,real
1744.wav,real
1745.wav,real
1746.wav,fake
1747.wav,real
1748.wav,fake
1749.wav,fake
1750.wav,real
1751.wav,real
1752.wav,real
1753.wav,fake
1754.wav,real
1755.wav,fake
1756.wav,fake
1757.wav,real
1758.wav,real
1759.wav,fake
1760.wav,fake
1761.wav,fake
1762.wav,real
1763.wav,fake
1764.wav,real
1765.wav,real
1766.wav,real
1767.wav,real
1768.wav,fake
1769.wav,real
1770.wav,real
1771.wav,fake
1772.wav,fake
1773.wav,fake
1774.wav,real
1775.wav,real
1776.wav,fake
1777.wav,fake
1778.wav,real
1779.wav,fake
1780.wav,real
1781.wav,real
1782.wav,real
1783.wav,fake
1784.wav,real
1785.wav,fake
1786.wav,fake
1787.wav,real
1788.wav,fake
1789.wav,fake
